age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
43.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0.0,0,0,1,1,0,3,1,0,2,1,0,1.0,2.0,1.0,0.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
58.0,1,1,0,0,0,0,2.0,0.0,1.0,1.0,1,1,1,1,0,0,0,1,4.19583371076,12.6,0,0,0.0,0,0,1,1,0,1,3,2,3,1,3,2.0,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,12.7586727085,21.8,0,0,0.0,0,0,1,0,1,2,3,0,0,0,0,0.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
60.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.53953288829,26.7,0,0,1.0,0,1,1,1,0,0,3,1,2,0,0,2.0,2.0,1.0,0.0,1.0,0.0,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1
45.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,0.473529451921,0.0,1,0,0.0,0,0,1,1,0,3,2,3,3,0,3,1.0,1.0,1.0,0.0,1.0,2.0,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
63.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0.827932450894,3.6,0,0,1.0,1,0,1,1,0,0,2,3,3,3,0,2.0,1.0,1.0,0.0,1.0,2.0,2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
77.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,2.56803515393,49.7,1,0,0.0,0,0,1,1,0,1,3,0,1,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0
73.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0.904074593135,11.2,1,0,0.0,0,0,1,1,0,0,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
47.0,0,0,1,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,48.0573427165,81.5,0,0,0.0,0,0,0,0,0,3,3,0,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
70.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0,0,0.0,0,0,1,0,1,2,0,0,0,3,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
54.0,0,1,0,0,0,0,3.0,0.0,1.0,1.0,1,1,0,1,0,0,0,1,1.60805204199,64.4,1,0,0.0,0,0,1,0,1,1,1,1,3,1,3,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
47.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.67621560814,38.5,1,0,0.0,0,0,1,1,0,3,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
37.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.61298739721,30.9,1,0,1.0,0,1,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0
60.0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,4.88240194821,0.0,0,0,1.0,0,1,0,0,0,3,0,3,3,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
54.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,1.53953288829,26.7,0,0,0.0,0,0,1,1,0,2,3,0,0,0,0,2.0,1.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
57.0,0,1,0,0,0,0,6.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,12.7586727085,21.8,0,0,0.0,0,0,0,0,0,0,3,1,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
42.0,1,1,0,0,0,0,2.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,1,1,0,1,2,2,3,3,0,2.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0
31.0,0,1,0,0,0,0,2.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,20.569203971,211.1,0,0,0.0,0,0,0,0,0,3,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41.0,0,0,0,1,0,0,5.0,1.0,0.0,1.0,0,1,0,1,0,0,0,0,1.91024256361,0.0,0,0,1.0,0,1,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
52.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,0.473529451921,0.0,1,0,0.0,0,0,1,0,1,3,3,3,2,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
71.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,0.0,0,0,0,0,0,0,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0
67.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,3.67286224885,58.5,1,0,0.0,0,0,1,0,1,2,3,0,3,3,0,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
65.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,20.569203971,211.1,0,0,0.0,0,0,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
55.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0.923735829039,18.9,0,0,1.0,0,1,1,1,0,0,3,0,1,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43.0,1,0,1,0,0,0,6.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,1.86591274655,21.7,1,0,1.0,0,1,0,0,0,3,3,0,0,3,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
42.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,3.15758568431,87.3,1,0,0.0,0,0,1,1,0,1,2,2,3,3,3,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0
67.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0.728852638111,36.3,1,0,0.0,0,0,0,0,0,2,2,0,3,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
68.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,0,0,1,0,0,3.67286224885,58.5,1,0,0.0,0,0,1,1,0,3,3,0,3,1,1,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
42.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.41658813867,53.2,1,0,0.0,0,0,1,0,1,0,3,0,2,0,0,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
71.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,0,0,0,2,3,1,3,3,0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0
65.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,24.3022342819,290.3,0,0,0.0,0,0,0,0,0,0,3,2,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0
62.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,1,1,0,0,1,0,14.1022955757,115.9,0,0,0.0,0,0,1,1,0,3,3,0,3,2,2,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
45.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,1,1,1,0,0,0,0,0,20.569203971,211.1,0,0,0.0,0,0,1,0,1,3,3,3,3,3,3,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0
40.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,0,1,0,0,1,0,0.284234070297,0.0,1,0,1.0,0,1,1,1,0,2,2,0,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
60.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,2.56803515393,49.7,1,0,0.0,0,0,1,0,1,3,3,3,1,3,1,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
54.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0.0,0,0,1,0,1,0,3,0,3,3,1,2.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
58.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,30.9561247065,91.9,0,0,0.0,0,0,1,0,1,3,3,0,3,0,3,2.0,1.0,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
48.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,0.52534680485,11.5,1,0,0.0,0,0,1,0,1,2,3,0,0,0,2,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
60.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,0.473529451921,0.0,1,0,0.0,0,0,1,0,1,1,2,2,2,0,3,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
41.0,0,1,0,0,0,0,5.0,1.0,1.0,0.0,0,1,1,0,1,0,0,0,23.8593795428,232.3,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
66.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,4.19583371076,12.6,0,0,0.0,0,0,1,1,0,1,0,0,2,3,2,2.0,1.0,0.0,0.0,1.0,2.0,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
45.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0,0,0.0,0,0,1,0,1,3,3,2,2,1,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
47.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,12.7586727085,21.8,0,0,0.0,0,0,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0
50.0,1,0,0,1,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,0.52534680485,11.5,1,0,1.0,1,0,1,1,0,3,2,0,3,2,0,2.0,1.0,1.0,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
68.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,0.728852638111,36.3,1,0,0.0,0,0,1,1,0,3,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0
51.0,1,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,0,1,0,0,0,1,0.52534680485,11.5,1,0,1.0,1,0,1,1,0,3,3,1,1,1,1,2.0,2.0,1.0,1.0,1.0,1.0,2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0
64.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,41.236272523,140.3,0,0,0.0,0,0,0,0,0,0,1,0,2,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
36.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,32.0277527397,84.2,0,0,0.0,0,0,1,1,0,1,3,0,0,0,1,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
64.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,35.6183845476,91.3,0,0,1.0,1,0,1,0,1,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
72.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,16.8502595827,109.0,0,0,0.0,0,0,0,0,0,3,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
80.0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,47.1032868598,126.8,0,0,0.0,0,0,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0
66.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,0.0,0,0,1,1,0,2,0,0,3,3,3,2.0,2.0,1.0,1.0,1.0,2.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
65.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,24.3022342819,290.3,0,0,0.0,0,0,1,0,1,0,3,3,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
69.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,0,0,0,0,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0
58.0,1,1,0,0,0,0,4.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,2.34033202078,64.3,1,0,0.0,0,0,1,0,1,3,0,1,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
34.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,1,1,0,0,0,1,23.8593795428,232.3,0,0,0.0,0,0,1,0,1,1,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1
61.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,27.8847036975,116.4,0,0,0.0,0,0,1,1,0,3,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
58.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,1.9275718969,34.8,1,0,0.0,0,0,1,0,1,0,3,3,3,3,3,2.0,2.0,0.0,1.0,1.0,1.0,2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
