age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,state,county,zip,evac
66.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,0.0,0,0,1,1,0,2,0,0,3,3,3,2.0,2.0,1.0,1.0,1.0,2.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,FL,bay county,32444,0
65.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,24.3022342819,290.3,0,0,0.0,0,0,1,0,1,0,3,3,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,inland counties,32420,0
69.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,0,0,0,0,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,FL,bay county,32404,0
58.0,1,1,0,0,0,0,4.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,2.34033202078,64.3,1,0,0.0,0,0,1,0,1,3,0,1,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,FL,escambia county,32526,0
34.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,1,1,0,0,0,1,23.8593795428,232.3,0,0,0.0,0,0,1,0,1,1,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,walton county,32433,1
61.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,27.8847036975,116.4,0,0,0.0,0,0,1,1,0,3,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,inland counties,32421,0
58.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,1.9275718969,34.8,1,0,0.0,0,0,1,0,1,0,3,3,3,3,3,2.0,2.0,0.0,1.0,1.0,1.0,2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,bay county,32405,0
24.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,20.569203971,211.1,0,0,0.0,0,0,1,1,0,3,3,3,3,3,0,2.0,2.0,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,santa rosa county,32565,0
58.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.61298739721,30.9,1,0,0.0,0,0,1,0,1,3,3,0,3,1,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,FL,walton county,32439,0
58.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,1.34210213579,56.5,0,0,1.0,1,0,1,1,0,2,3,0,2,3,2,1.0,2.0,1.0,0.0,1.0,1.0,0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,santa rosa county,32583,0
23.0,1,1,0,0,0,0,3.0,1.0,0.0,0.0,0,1,0,1,0,0,1,0,30.9561247065,91.9,0,0,0.0,0,0,0,0,0,3,3,0,1,0,1,1.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,FL,inland counties,32464,1
56.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.61298739721,30.9,1,0,1.0,0,0,1,1,0,3,3,3,3,3,0,2.0,0.0,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,walton county,32439,1
55.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,32.0277527397,84.2,0,0,1.0,0,0,1,1,0,3,3,1,3,1,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,FL,inland counties,32448,0
48.0,0,1,0,0,0,0,6.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,15.3961471011,180.2,1,0,0.0,0,0,1,0,1,1,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,bay county,32438,0
48.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,35.6183845476,91.3,0,0,0.0,0,0,1,1,0,2,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,inland counties,32425,1
47.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,0.923735829039,18.9,0,0,0.0,0,0,1,1,0,0,2,2,3,1,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,FL,walton county,32541,1
45.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,8.85945358769,149.4,1,0,0.0,0,0,0,0,0,3,1,0,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,FL,escambia county,32533,0
60.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0,1.53953288829,26.7,0,0,1.0,0,1,1,1,0,2,2,3,3,3,1,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,FL,gulf county,32456,1
70.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1.67621560814,38.5,1,0,1.0,0,1,0,0,0,3,3,0,3,3,0,2.0,2.0,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,escambia county,32503,0
25.0,0,0,0,0,1,0,7.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,0,0,0,1,3,1,2,1,3,2.0,2.0,1.0,1.0,1.0,1.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,FL,bay county,32404,0
60.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0.0,0,0,1,0,1,1,3,0,0,0,2,2.0,1.0,0.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,FL,santa rosa county,32571,0
38.0,0,1,0,0,0,0,3.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,1.53953288829,26.7,0,0,1.0,0,1,1,1,0,0,3,0,1,3,0,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,gulf county,32456,0
65.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,2.34033202078,64.3,1,0,1.0,1,0,0,0,0,1,2,0,2,3,1,2.0,2.0,0.0,0.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,FL,escambia county,32526,1
43.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,1.0,1,0,1,1,0,1,3,2,3,1,1,2.0,2.0,1.0,0.0,1.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,bay county,32444,1
51.0,0,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,1,0,0,1,0,0,4.88240194821,0.0,0,0,1.0,0,1,1,1,0,0,0,0,2,0,3,2.0,1.0,0.0,1.0,1.0,2.0,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,monroe county,33040,0
49.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,4.19583371076,12.6,0,0,0.0,0,0,1,1,0,3,3,1,3,1,1,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,franklin county,32322,0
58.0,1,0,0,0,0,0,3.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,2.54452685595,9.5,1,0,0.0,0,0,1,1,0,1,1,0,1,1,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,FL,bay county,32407,0
74.0,1,1,0,0,0,0,4.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,0.0,0,0,1,1,0,3,0,3,3,0,0,0.0,2.0,0.0,0.0,1.0,1.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,FL,santa rosa county,32570,0
53.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,1,0,1.34210213579,56.5,0,0,0.0,0,0,1,1,0,3,3,0,3,3,2,2.0,2.0,1.0,1.0,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,FL,santa rosa county,32583,1
40.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,3.67286224885,58.5,1,0,1.0,1,0,1,0,1,3,3,0,3,2,2,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,okaloosa county,32547,0
45.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.61298739721,30.9,1,0,0.0,0,0,0,0,0,1,3,0,0,0,1,1.0,2.0,1.0,1.0,1.0,2.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,FL,walton county,32439,0
47.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,14.1022955757,115.9,0,0,1.0,1,0,0,0,0,3,3,0,0,0,1,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,FL,santa rosa county,32570,0
65.0,0,1,0,0,0,0,6.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,4.32489561034,65.4,1,0,0.0,0,0,0,0,0,0,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,FL,bay county,32409,0
73.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0.923735829039,18.9,0,0,0.0,0,0,0,0,0,1,2,0,2,3,0,0.0,2.0,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,walton county,32541,0
33.0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,1.78736442911,90.7,1,0,0.0,0,0,1,0,1,0,0,0,3,1,0,2.0,0.0,0.0,1.0,1.0,1.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,escambia county,32504,1
62.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,0,0,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,1,0,1,3,2,0,2,0,1,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,bay county,32404,1
41.0,1,1,0,0,0,0,2.0,0.0,1.0,0.0,0,1,0,1,0,0,1,0,15.3961471011,180.2,1,0,0.0,0,0,0,0,0,0,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,bay county,32438,0
56.0,1,1,0,0,0,0,3.0,0.0,1.0,0.0,0,1,0,1,0,0,0,1,0.473529451921,0.0,1,0,0.0,0,0,1,1,0,3,3,1,1,1,1,1.0,2.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,okaloosa county,32578,0
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.78736442911,90.7,1,0,0.0,0,0,1,0,1,3,3,1,2,1,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,escambia county,32504,0
55.0,1,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,1,0,1,0,0,0,0.827932450894,3.6,0,0,1.0,1,0,1,1,0,1,3,1,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,FL,santa rosa county,32566,1
67.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,0.827932450894,3.6,0,0,0.0,0,0,1,1,0,3,1,2,3,0,1,2.0,1.0,0.0,0.0,1.0,1.0,0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,FL,santa rosa county,32566,1
45.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0.120303391552,25.5,1,0,0.0,0,0,1,0,1,1,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,FL,bay county,32401,0
63.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.41658813867,53.2,1,0,0.0,0,0,1,0,1,0,2,0,2,3,0,2.0,2.0,1.0,1.0,1.0,1.0,0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,FL,bay county,32404,0
71.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0.473529451921,0.0,1,0,1.0,1,0,0,0,0,2,2,1,1,2,0,1.0,2.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,FL,okaloosa county,32578,0
59.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0.923735829039,18.9,0,0,1.0,0,1,1,1,0,1,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,walton county,32541,1
62.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.11590786616,0.0,0,0,1.0,0,1,1,1,0,2,2,2,3,2,0,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,FL,franklin county,32328,1
53.0,0,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0,0,1.0,0,1,1,1,0,3,3,2,2,3,3,2.0,2.0,1.0,0.0,1.0,2.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,FL,walton county,32433,1
40.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1.9275718969,34.8,1,0,0.0,0,0,0,0,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,0.0,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,bay county,32405,0
68.0,1,0,0,0,1,0,3.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.67286224885,58.5,1,0,0.0,0,0,0,0,0,3,0,0,0,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,okaloosa county,32547,0
58.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,1,1,0,0,3,0,2,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,bay county,32404,0
69.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,0,0,1,0,0,1.02768651424,0.9,1,0,1.0,0,1,1,1,0,2,3,1,3,1,2,2.0,2.0,1.0,0.0,1.0,2.0,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,okaloosa county,32548,1
53.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,1.53953288829,26.7,0,0,1.0,0,1,1,1,0,3,3,0,0,0,3,2.0,2.0,1.0,1.0,1.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,gulf county,32456,1
48.0,1,0,1,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,23.8593795428,232.3,0,0,1.0,0,0,1,1,0,1,1,1,3,1,1,2.0,0.0,1.0,0.0,1.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,FL,walton county,32433,0
48.0,1,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,8.85945358769,149.4,1,0,0.0,0,0,1,0,1,2,2,1,3,2,2,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,escambia county,32533,0
65.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,0.904074593135,11.2,1,0,0.0,0,0,0,0,0,0,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,bay county,32444,0
41.0,0,1,0,0,0,0,4.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,48.0573427165,81.5,0,0,1.0,1,0,0,0,0,2,3,3,3,2,0,2.0,2.0,1.0,1.0,1.0,2.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,FL,inland counties,32460,1
63.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.103248068,72.2,1,0,0.0,0,0,0,0,0,3,1,0,1,1,0,1.0,2.0,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,FL,escambia county,32501,1
56.0,1,1,0,0,0,0,3.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,12.7586727085,21.8,0,0,0.0,0,0,1,1,0,3,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,FL,gulf county,32465,0
48.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1.11590786616,0.0,0,0,0.0,0,0,1,0,1,0,0,0,2,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,franklin county,32328,1
61.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,1,0,1.34210213579,56.5,0,0,0.0,0,0,1,1,0,2,3,1,3,3,3,1.0,2.0,1.0,1.0,1.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,FL,santa rosa county,32583,0
26.0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1.9275718969,34.8,1,0,0.0,0,0,1,0,1,0,2,0,3,3,2,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,bay county,32405,0
45.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,1,1,1,1,0,0,0,1,0.473529451921,0.0,1,0,0.0,0,0,1,0,1,0,2,0,3,0,3,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,okaloosa county,32578,1
28.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.50338764002,25.3,1,0,1.0,0,1,0,0,0,1,2,3,0,0,3,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,FL,walton county,32459,1
49.0,1,1,0,0,0,0,4.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,3.41658813867,53.2,1,0,0.0,0,0,1,1,0,0,3,0,1,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,bay county,32404,0
50.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0.0,0,0,1,0,1,3,3,1,3,1,3,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,santa rosa county,32571,0
51.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,0.923735829039,18.9,0,0,1.0,1,0,1,1,0,3,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,FL,walton county,32541,1
38.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.02768651424,0.9,1,0,0.0,0,0,1,0,1,3,2,0,3,0,1,1.0,2.0,1.0,1.0,1.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,okaloosa county,32548,0
31.0,0,0,0,0,0,0,6.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1.02768651424,0.9,1,0,1.0,1,0,0,0,0,0,3,1,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,FL,okaloosa county,32548,1
42.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,0,1,0,0,0,1,1.02768651424,0.9,1,0,1.0,1,0,1,1,0,1,0,0,3,0,1,2.0,2.0,1.0,0.0,1.0,2.0,1,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,okaloosa county,32548,1
72.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0.0,0,0,1,0,1,0,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,bay county,32404,0
30.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,3.67286224885,58.5,1,0,0.0,0,0,0,0,0,1,1,0,3,1,0,2.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,okaloosa county,32547,1
36.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,35.6183845476,91.3,0,0,0.0,0,0,0,0,0,2,3,0,2,2,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,inland counties,32425,0
83.0,0,1,0,0,0,0,2.0,0.0,1.0,1.0,0,1,0,1,0,0,0,1,2.34033202078,64.3,1,0,0.0,0,0,0,0,0,3,2,1,2,1,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,escambia county,32526,0
64.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,0,0,1,0,0,0.827932450894,3.6,0,0,0.0,0,0,1,1,0,3,3,2,3,3,2,2.0,2.0,1.0,1.0,1.0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,santa rosa county,32566,1
81.0,0,1,0,0,0,0,2.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,1.53953288829,26.7,0,0,0.0,0,0,0,0,0,1,3,3,1,1,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,FL,gulf county,32456,0
51.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,12.7586727085,21.8,0,0,0.0,0,0,1,0,1,0,3,3,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,FL,gulf county,32465,0
71.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,12.7586727085,21.8,0,0,0.0,0,0,1,0,1,3,3,3,3,3,1,2.0,0.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,FL,gulf county,32465,0
49.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,1.53953288829,26.7,0,0,1.0,0,1,1,1,0,0,3,0,2,0,0,1.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,gulf county,32456,1
49.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0.0,0,0,1,0,1,1,2,0,2,1,1,2.0,2.0,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,FL,santa rosa county,32571,0
52.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,15.3961471011,180.2,1,0,0.0,0,0,1,0,1,2,3,0,1,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,FL,bay county,32438,0
27.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,3.67286224885,58.5,1,0,0.0,0,0,0,0,0,3,0,0,1,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,okaloosa county,32547,1
41.0,0,1,0,0,0,0,3.0,0.0,1.0,1.0,0,1,1,1,0,0,0,1,19.9685622058,228.6,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,FL,inland counties,32428,0
63.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,4.88240194821,0.0,0,0,1.0,0,1,1,1,0,0,3,0,3,3,0,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,FL,monroe county,33040,1
70.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,1.61298739721,30.9,1,0,0.0,0,0,1,1,0,2,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,FL,walton county,32439,1
52.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,1.60805204199,64.4,1,0,0.0,0,0,0,0,0,1,1,1,2,3,2,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,FL,okaloosa county,32580,0
